      999	2016-06-01 07:52:10	1	0	1	0
      184	2016-06-01 08:58:34	1	0	1	0
       21	2016-06-01 09:03:19	1	0	1	0
       94	2016-06-01 09:08:31	1	0	1	0
       94	2016-06-01 13:12:53	1	0	1	0
      184	2016-06-01 13:13:21	1	0	1	0
        7	2016-06-01 14:34:54	1	0	1	0
       21	2016-06-01 16:06:29	1	0	1	0
        3	2016-06-01 17:05:43	1	0	1	0
      184	2016-06-01 18:09:08	1	0	1	0
       94	2016-06-01 18:09:16	1	0	1	0
       94	2016-06-01 18:12:02	1	0	1	0
       21	2016-06-01 18:12:59	1	0	1	0
     1000	2016-06-02 07:45:07	1	0	1	0
      999	2016-06-02 07:54:46	1	0	1	0
      184	2016-06-02 08:44:11	1	0	1	0
       21	2016-06-02 09:00:01	1	0	1	0
       94	2016-06-02 09:09:31	1	0	1	0
        7	2016-06-02 10:19:34	1	0	1	0
        5	2016-06-02 11:58:17	1	0	1	0
       21	2016-06-02 13:56:08	1	0	1	0
      184	2016-06-02 18:01:48	1	0	1	0
       94	2016-06-02 18:34:15	1	0	1	0
      999	2016-06-03 07:50:02	1	0	1	0
      184	2016-06-03 08:31:35	1	0	1	0
        5	2016-06-03 08:43:29	1	0	1	0
       21	2016-06-03 09:04:46	1	0	1	0
       94	2016-06-03 09:04:48	1	0	1	0
       94	2016-06-03 12:53:30	1	0	1	0
       21	2016-06-03 13:03:33	1	0	1	0
       94	2016-06-03 13:31:18	1	0	1	0
       94	2016-06-03 17:00:26	1	0	1	0
       21	2016-06-03 18:18:32	1	0	1	0
       94	2016-06-04 12:20:16	1	0	1	0
     1000	2016-06-06 07:44:10	1	0	1	0
      999	2016-06-06 07:48:42	1	0	1	0
      184	2016-06-06 08:32:06	1	0	1	0
        5	2016-06-06 08:56:46	1	0	1	0
       21	2016-06-06 09:01:44	1	0	1	0
        7	2016-06-06 09:45:38	1	0	1	0
        7	2016-06-06 14:29:26	1	0	1	0
       21	2016-06-06 15:05:05	1	0	1	0
      184	2016-06-06 17:34:40	1	0	1	0
       21	2016-06-06 18:34:12	1	0	1	0
     1000	2016-06-07 07:29:35	1	0	1	0
       21	2016-06-07 09:07:11	1	0	1	0
        7	2016-06-07 09:59:45	1	0	1	0
       94	2016-06-07 10:06:37	1	0	1	0
      184	2016-06-07 11:25:36	1	0	1	0
        7	2016-06-07 12:54:43	1	0	1	0
      184	2016-06-07 18:03:49	1	0	1	0
       21	2016-06-07 18:24:01	1	0	1	0
     1000	2016-06-08 07:23:40	1	0	1	0
      184	2016-06-08 08:27:29	1	0	1	0
       21	2016-06-08 08:57:46	1	0	1	0
       21	2016-06-08 18:29:44	1	0	1	0
       94	2016-06-10 12:21:29	1	0	1	0
